BVDID,nace_main_section,nace_core_code,NACE_prim,NACE_sec
FR534843511,H - Transportation and storage,4941.0,4941.0,
FR534843511,,,,
FR534843511,,,,
FR534843511,,,,
FR534843511,,,,
FR538695040,C - Manufacturing,2016.0,2016.0,
FR542046065,C - Manufacturing,2620.0,2620.0,2620.0
FR552100554,C - Manufacturing,2910.0,2910.0,
FR552100554,,,2920.0,
FR562011452,"M - Professional, scientific and technical activities",7010.0,7010.0,
FR562011452,,,,
FR562110965,C - Manufacturing,3011.0,3011.0,7010.0
FR562110965,,,,
FR775558463,H - Transportation and storage,5010.0,5010.0,
FR775558463,,,,
GB02904587,F - Construction,4110.0,4110.0,4910.0
GB02904587,,,,4920.0
GB02904587,,,,6810.0
GB02904587,,,,
GB02966054,L - Real estate activities,6810.0,6810.0,
GB03273685,K - Financial and insurance activities,6419.0,6419.0,6492.0
GB03273685,,,,6499.0
GB03273685,,,,6612.0
GB03273685,,,,6619.0
GB03938288,K - Financial and insurance activities,6419.0,6419.0,6492.0
GB03938288,,,,6499.0
GB03938288,,,,6612.0
GB03938288,,,,6619.0
GB04975343,J - Information and communication,6190.0,6190.0,
GB05158565,C - Manufacturing,2910.0,2910.0,
GB05158565,,,,
GB05158565,,,,
GB05158565,,,,
GB05590066,C - Manufacturing,2910.0,2910.0,
GB05590066,,,,
GB05590066,,,,
GB05590066,,,,
GB08680755,"M - Professional, scientific and technical activities",7490.0,7490.0,
GB08680755,,,8299.0,
GBNI036890,N - Administrative and support service activities,8299.0,8299.0,
GBSC257602,C - Manufacturing,1399.0,1399.0,
GBSC257602,,,,
GBSC270184,"D - Electricity, gas, steam and air conditioning supply",3511.0,3511.0,
GBSC270184,,,3512.0,
GBSC270184,,,3514.0,
GR000584001000,C - Manufacturing,2410.0,2410.0,812.0
GR000584001000,,,,
GR000584001000,,,,
GR000584001000,,,,
GR000685601000,C - Manufacturing,1310.0,1310.0,
GR006780801000,H - Transportation and storage,4910.0,4910.0,5229.0
GR006780801000,,,,
GR094420067,J - Information and communication,5813.0,5813.0,1811.0
GR094420067,,,,1812.0
GR094420067,,,,1813.0
GR094420067,,,,8220.0
GR094420067,,,,
GR998939913,H - Transportation and storage,5110.0,5110.0,5121.0
GR998939913,,,,
HR18556905592,C - Manufacturing,3011.0,3011.0,1623.0
HR18556905592,,,,2511.0
